"host_hostname","name","platform","version"
"machine-021","Ubuntu","ubuntu","20.04.1 LTS (Focal Fossa)"
"machine-027","Ubuntu","ubuntu","18.04.5 LTS (Bionic Beaver)"
"machine-008","Ubuntu","ubuntu","18.04.4 LTS (Bionic Beaver)"
"machine-024","Ubuntu","ubuntu","20.04.1 LTS (Focal Fossa)"
"machine-012","Ubuntu","ubuntu","20.04.1 LTS (Focal Fossa)"
"machine-026","Ubuntu","ubuntu","18.04.5 LTS (Bionic Beaver)"
"machine-032","Ubuntu","ubuntu","20.04.1 LTS (Focal Fossa)"
"machine-019","Ubuntu","ubuntu","20.04.1 LTS (Focal Fossa)"
"machine-020","Ubuntu","ubuntu","18.04.5 LTS (Bionic Beaver)"
"machine-018","Ubuntu","ubuntu","20.04.1 LTS (Focal Fossa)"
"machine-010","Ubuntu","ubuntu","18.04.5 LTS (Bionic Beaver)"
"machine-025","Ubuntu","ubuntu","20.04.1 LTS (Focal Fossa)"
"machine-022","Microsoft Windows 10 Pro","windows","10.0.18362"
"machine-006","Ubuntu","ubuntu","18.04.5 LTS (Bionic Beaver)"
"machine-014","Ubuntu","ubuntu","20.04 LTS (Focal Fossa)"
"machine-016","Ubuntu","ubuntu","18.04.4 LTS (Bionic Beaver)"
"machine-030","Ubuntu","ubuntu","20.04.1 LTS (Focal Fossa)"
"machine-033","Ubuntu","ubuntu","18.04.5 LTS (Bionic Beaver)"
"machine-031","Microsoft Windows 10 Pro","windows","10.0.18362"
"machine-011","Microsoft Windows 10 Pro","windows","10.0.17763"
"machine-009","Microsoft Windows 10 Pro","windows","10.0.18363"
"machine-037","Ubuntu","ubuntu","18.04.5 LTS (Bionic Beaver)"
"machine-038","Ubuntu","ubuntu","20.04 LTS (Focal Fossa)"
"machine-004","Ubuntu","ubuntu","18.04.5 LTS (Bionic Beaver)"
"machine-040","Ubuntu","ubuntu","20.04 LTS (Focal Fossa)"
"machine-039","Ubuntu","ubuntu","18.04.4 LTS (Bionic Beaver)"
"machine-034","Ubuntu","ubuntu","18.04.5 LTS (Bionic Beaver)"
"machine-002","Ubuntu","ubuntu","20.04.1 LTS (Focal Fossa)"
"machine-015","Ubuntu","ubuntu","20.04.1 LTS (Focal Fossa)"
"machine-003","Ubuntu","ubuntu","16.04.6 LTS (Xenial Xerus)"
"machine-001","Ubuntu","ubuntu","20.04.1 LTS (Focal Fossa)"
"machine-017","Microsoft Windows 10 Home Single Language","windows","10.0.18362"
"machine-023","Microsoft Windows 10 Professionnel","windows","10.0.18363"
"machine-029","Ubuntu","ubuntu","16.04.3 LTS (Xenial Xerus)"
"machine-007","Ubuntu","ubuntu","16.04.6 LTS (Xenial Xerus)"
"machine-013","Ubuntu","ubuntu","16.04.7 LTS (Xenial Xerus)"
"machine-036","Ubuntu","ubuntu","20.04.1 LTS (Focal Fossa)"
"machine-028","Microsoft Windows 10 Home Single Language","windows","10.0.19041"
"machine-005","Ubuntu","ubuntu","18.04.5 LTS (Bionic Beaver)"
